ring,particle,theta_rad,phi_rad,theta_dot,phi_dot
0,4,0.093061,0.388756,8.741712,29.315352
0,6,5.965194,0.411559,4.242926,11.471751
0,7,6.159838,0.367632,-17.563122,11.783226
0,8,3.188830,0.324817,1.957528,-33.690067
0,10,3.098098,1.491300,-17.297501,-46.081304
0,11,4.517607,5.931383,1.810381,-21.059233
0,12,3.191681,0.188333,-0.640356,53.850380
0,13,6.250146,0.828798,2.685678,-80.284504
0,16,3.294509,6.074226,6.321000,-10.759173
0,18,0.175103,0.291968,12.222593,29.929272
0,19,3.187538,6.062042,-8.006413,-70.359394
0,22,3.099166,0.566023,3.807631,-6.184746
0,23,6.243167,0.021904,13.959265,-0.488415
0,25,3.249155,0.212918,-0.693955,40.537925
0,27,2.945011,0.468652,-5.943475,7.440959
0,28,6.111877,0.891079,-2.305797,-84.259578
0,32,6.270464,1.083307,-7.332131,18.469257
0,33,0.013617,0.214518,-1.155519,-9.204603
0,36,6.000760,1.185494,4.830912,-29.896416
0,37,6.050948,0.912564,-1.596664,56.513673
0,42,3.218610,0.044415,4.927802,20.198208
0,44,3.380842,0.606202,-2.447652,2.859131
0,46,6.226603,0.191402,7.519013,-1.174352
0,50,3.273365,5.267489,-9.425977,12.979052
0,51,3.169756,0.173427,14.407600,30.350617
0,54,3.282553,0.066167,6.858328,43.394756
0,56,6.122865,0.827501,-14.488595,-5.115058
0,59,3.366657,0.887831,10.012529,20.580631
0,62,3.348775,5.988009,9.480379,-3.364550
0,63,0.054425,0.560898,25.485247,-19.499016
0,64,0.107496,0.460997,8.519955,-34.969314
0,65,3.180406,5.695151,-3.754909,-31.279093
0,68,3.209283,1.525887,27.460447,-4.935318
0,71,3.251862,0.702152,7.404090,-7.841823
0,76,2.888389,0.054690,-3.803301,-35.243331
0,77,6.071714,0.523847,4.867635,3.998130
0,78,3.085938,0.014037,-16.280488,19.879449
0,81,6.150765,6.083550,9.457016,-41.094178
0,82,6.242257,0.172993,-2.089203,-36.546882
0,83,3.166219,0.557329,-3.330824,35.982356
0,87,0.073913,0.899231,12.843644,4.594348
0,88,3.209521,6.053412,11.396183,49.794907
0,92,6.160785,0.039330,6.090099,6.026173
0,94,6.221681,5.587159,10.346279,-41.641087
0,95,6.277595,1.309642,5.423995,25.717192
0,97,3.132740,0.429377,10.562462,-15.249591
0,99,6.269345,0.211659,-1.336392,-9.317285
0,100,0.014269,0.436725,10.610125,69.265591
0,101,0.043962,0.200863,2.157609,-11.864244
0,102,3.112352,0.182670,-1.537572,47.758313
0,103,3.311379,0.950096,6.242119,-37.975253
0,109,6.135659,5.949696,-9.102366,-3.693536
0,110,6.204150,0.591693,-22.984326,-10.373796
0,113,6.280106,0.801295,3.369658,22.435280
0,116,0.023295,0.173749,-7.880702,13.244573
0,117,0.029796,0.203860,-14.500755,4.669740
0,118,6.252400,0.214888,-17.596643,44.355619
0,119,0.090274,0.896778,1.413020,67.420351
0,122,6.186060,0.403375,7.808840,-14.536759
0,125,3.134518,6.036366,-3.035346,0.157922
0,131,6.276996,0.251000,4.321057,15.486109
0,132,0.059860,0.330704,-3.949685,17.556412
0,133,3.084096,0.386951,-5.716739,5.815504
0,134,6.243260,0.304387,5.306975,-15.038086
0,135,0.081704,0.185845,-7.788975,28.212989
0,136,6.274842,6.276014,13.553936,-2.912761
0,138,0.091272,1.332394,8.339513,19.294140
0,139,2.997241,1.284686,6.943248,14.916922
